,metaboliteID,microbeID,edgeType,pvalue
21105,2081,123,3,6.24E-06
31561,2240,159,3,3.44E-05
15165,2233,484,2,0.000172162
13169,2203,969,2,0.000778944
15122,2233,54,2,3.60E-10
23651,2122,401,3,1.59E-07
7723,2122,149,2,2.25E-08
23681,2122,969,3,4.11E-11
8461,2133,425,2,3.44E-05
16638,2011,119,3,4.11E-11
23680,2122,968,3,3.60E-10
23664,2122,551,3,4.39E-12
14111,2217,1099,2,4.41E-13
24350,2133,131,3,1.11E-16
7721,2122,135,2,1.11E-16
23649,2122,338,3,2.95E-09
7737,2122,338,2,3.33E-16
2565,2038,484,2,0.000778944
31413,2238,152,3,3.60E-10
31603,2240,1052,3,0.000778944
7731,2122,260,2,3.60E-10
23675,2122,952,3,1.11E-16
23622,2122,119,3,1.11E-16
23786,2125,161,3,1.04E-06
8462,2133,454,2,6.24E-06
8484,2133,953,2,2.95E-09
7713,2122,123,2,4.16E-14
24363,2133,260,3,0.000778944
23670,2122,814,3,2.25E-08
7742,2122,454,2,1.11E-16
7707,2122,55,2,1.11E-16
16645,2011,129,3,1.11E-16
24967,2141,870,3,3.44E-05
24346,2133,124,3,3.66E-15
24342,2133,119,3,6.24E-06
31569,2240,338,3,1.59E-07
24353,2133,135,3,1.11E-16
24351,2133,133,3,1.11E-16
7706,2122,54,2,1.11E-16
31562,2240,161,3,6.24E-06
9050,2141,796,2,0.000172162
21159,2081,966,3,0.000172162
24405,2133,1064,3,1.11E-16
23659,2122,461,3,1.59E-07
7741,2122,425,2,1.11E-16
3800,2061,878,2,0.000778944
31570,2240,339,3,3.44E-05
23820,2125,953,3,2.25E-08
9045,2141,484,2,1.59E-07
15180,2233,953,2,0.000778944
24361,2133,159,3,1.11E-16
8489,2133,969,2,4.39E-12
23645,2122,314,3,0.000778944
23626,2122,124,3,1.11E-16
18467,2038,401,3,1.04E-06
9071,2141,1099,2,4.11E-11
23762,2125,54,3,0.000172162
8448,2133,158,2,0.000172162
723,2011,55,2,1.04E-06
7770,2122,1007,2,3.33E-16
9002,2141,54,2,4.39E-12
28907,2201,401,3,0.000172162
31584,2240,551,3,2.95E-09
31595,2240,952,3,2.25E-08
16653,2011,152,3,4.41E-13
23997,2128,152,3,0.000778944
23677,2122,964,3,1.11E-16
23660,2122,464,3,1.11E-16
24937,2141,159,3,3.44E-05
24375,2133,455,3,1.11E-16
16636,2011,75,3,1.11E-16
23635,2122,149,3,4.41E-13
6968,2108,878,2,0.000172162
31430,2238,454,3,1.04E-06
23652,2122,420,3,3.60E-10
23641,2122,159,3,3.44E-05
16639,2011,121,3,0.000778944
